date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:58	267156/267156	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jul%202018%2013:33:16%20GMT	https://demos.creative-tim.com/material-kit-pro/index.html	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/index.html	(from )
12:51:59	5251/5251	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Sep%202018%2017:51:59%20GMT	https://demos.creative-tim.com/robots.txt		(from )
12:51:59	2446/2446	---M--	200	added ('OK')	image/png	etag:%225b3ccc9c-98e%22	https://demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:00	2761/2761	---M--	200	added ('OK')	image/png	etag:%225b3ccc9c-ac9%22	https://demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:04	158013/158013	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202018%2017:52:04%20GMT	https://www.creative-tim.com/product/material-kit-pro	/home/braes/websites/page%20VIewGroup/www.creative-tim.com/product/material-kit-pro.html	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:05	45590/45590	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jul%202018%2013:33:16%20GMT	https://demos.creative-tim.com/material-kit-pro/presentation.html	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/presentation.html	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:05	151931/151931	---M--	200	added ('OK')	image/jpeg	etag:%225992bdb8ab9745a2fcccde54072ba233%22	https://s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.jpg	/home/braes/websites/page%20VIewGroup/s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.jpg	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:07	1880/1880	---MC-	200	added ('OK')	text/css	date:Tue,%2018%20Sep%202018%2017:52:06%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500,700|Roboto+Slab:400,700|Material+Icons	/home/braes/websites/page%20VIewGroup/fonts.googleapis.com/css8393.css	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	/home/braes/websites/page%20VIewGroup/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:09	387318/387318	---M-Z	200	added ('OK')	text/css	etag:W/%225b3ccc9c-5e8f6%22	https://demos.creative-tim.com/material-kit-pro/assets/css/material-kit.min.css?v=2.1.0	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/css/material-kit.minf066.css	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:09	6617/6617	---M-Z	200	added ('OK')	text/css	etag:W/%225b3ccc9c-19d9%22	https://demos.creative-tim.com/material-kit-pro/assets/demo/demo.css	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:10	6552/6552	---M-Z	200	added ('OK')	text/css	etag:W/%225b3ccc9c-1998%22	https://demos.creative-tim.com/material-kit-pro/assets/demo/vertical-nav.css	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/demo/vertical-nav.css	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2018%20Sep%202018%2017:52:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/braes/websites/page%20VIewGroup/www.googletagmanager.com/gtm.b5445.delayed	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:52:12%20GMT	http://demos.creative-tim.com/material-kit-pro/docs/2.0/getting-started/introduction.html	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/docs/2.0/getting-started/introduction.c.delayed	(from https://demos.creative-tim.com/material-kit-pro/index.html)
12:52:14	44593/44593	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jul%202018%2013:33:16%20GMT	https://demos.creative-tim.com/material-kit-pro/docs/2.0/getting-started/introduction.html	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/docs/2.0/getting-started/introduction.html	(from https://demos.creative-tim.com/material-kit-pro/index.html)
